ID,Start_Time,Complete_Time,What kind of contributor are you?,"Importance of ""State the motivation.""","Difficulty of ""State the motivation.""","Importance of ""Link to the related issue.""","Difficulty of ""Link to the related issue.""","Importance of ""Describe the bug that needs to be fixed.""","Difficulty of ""Describe the bug that needs to be fixed.""","Importance of ""Describe the functionality of pull requests.""","Difficulty of ""Describe the functionality of pull requests.""","Importance of ""Fill in information for release note.""","Difficulty of ""Fill in information for release note.""","Importance of ""Clarify the effect of the pull request.""","Difficulty of ""Clarify the effect of the pull request.""","Importance of ""Explain the trade-offs.""","Difficulty of ""Explain the trade-offs.""","Importance of ""Explain the technical details.""","Difficulty of ""Explain the technical details.""","Importance of ""Provide testing information in the description.""","Difficulty of ""Provide testing information in the description.""","Importance of ""Update the checklist.""","Difficulty of ""Update the checklist.""","Importance of ""Follow the format requirements.""","Difficulty of ""Follow the format requirements.""","Importance of ""Delete content in the pull request template.""","Difficulty of ""Delete content in the pull request template.""","Are there any other practices about pull request description that you consider important but we missed? If there are, please provide."
28,11/23/23 21:42:11,11/23/23 21:43:48,Write code and review code,Most,Slight,More,No,More,Slight,Medium,Medium,No,Medium,Medium,Medium,Medium,More,Medium,Most,Slight,Medium,No,No,No,No,No,No,
29,11/23/23 23:30:57,11/23/23 23:35:04,Only write code,More,Medium,Most,No,More,Slight,More,Medium,Medium,More,Most,Medium,Medium,Medium,More,Medium,More,Most,Most,Slight,More,Medium,More,No,"I personally think when writing performance or memory improvements related PRs , I think better even add how it impact end users(clients) too."
30,11/24/23 7:07:20,11/24/23 7:16:21,Write code and review code,Most,Slight,Most,No,More,Slight,Medium,Medium,Medium,Medium,Medium,Medium,Slight,Slight,More,More,More,Medium,Slight,No,Most,Slight,Slight,No,"Follow the contribution guidelines for the project. For example in the Flutter repo, they require unit tests that test the change you are making to be included with the PR. This is often overlooked by contributors that just want to fix their issue.

Also for UI related changes it is very helpful to have before and after screen shots in the description of the PR so that reviewers and the community can quickly see what you are fixing/changing.
"
31,11/24/23 9:32:49,11/24/23 9:35:21,Write code and review code,Medium,Medium,Medium,No,Medium,Medium,Slight,More,No,More,Medium,Medium,Slight,More,Slight,Most,Slight,Slight,Medium,No,More,Medium,More,No,"The pull request description should be enough that you can figure out what the PR is about five years later when doing archeology, and it should be enough for a reviewer to orient themselves when they review it. Beyond that, I think it's often an overrated consideration."
32,11/24/23 14:51:58,11/24/23 14:53:30,Write code and review code,Most,Medium,More,More,Most,Most,Medium,Medium,More,Medium,Most,More,More,More,Medium,Medium,More,More,Medium,Medium,Most,Most,Most,Most,
33,11/24/23 21:10:30,11/24/23 21:18:59,Write code and review code,Most,Slight,Medium,Slight,Most,More,Medium,Medium,Medium,Medium,Medium,Medium,Most,More,Slight,Most,Slight,Most,No,No,Medium,Medium,Medium,No,
34,11/27/23 17:14:41,11/27/23 17:27:36,Write code and review code,Most,Medium,Medium,No,Most,Slight,Most,Slight,More,No,Most,Medium,Most,Medium,Most,Slight,Medium,More,Slight,Medium,Slight,Medium,Medium,No,"We can auto link the ticket issue code with some settings and if we follow branch and ticket name as a same convention. Also checkout https://github.com/sbimochan/smart-commit to keep track of every commits. If using github, you can make use of autolink references. 
We also need to remember that if there are very long contents in descriptions, it is failed to be read. The PR should be short and descriptions too. I've seen many PR templates failed.
Feel free to checkout some github actions tool as well that links the issue in PR descriptions or comments, etc https://github.com/sbimochan/jira-link-commenter"
35,11/28/23 23:45:14,11/28/23 23:49:12,Write code and review code,Most,More,Most,No,Medium,More,More,Slight,Medium,Slight,More,More,More,More,More,More,Medium,Slight,Medium,Slight,Medium,Medium,Medium,Slight,
36,11/29/23 15:04:19,11/29/23 15:09:39,Write code and review code,Most,No,Most,No,Medium,Medium,Most,Medium,More,Medium,Most,More,Most,More,More,More,Most,Slight,Most,No,Most,Slight,Most,No,"For bug reproduce steps, I would suggest adding into the issue that is linked with this PR.

Some PR may need a release note and some may not.

priority is important for reviewers as reviewers/maintainers's time is quite expensive. 

For contributing process, `action required` for upgrade and `behavior change` are quite important than other thing. Especially on API-Change, in some design principles, we should upgrade the version from 1.0 to 2.0 if we changes the spec. "
37,11/30/23 1:39:10,11/30/23 1:54:34,Write code and review code,Most,Slight,Most,Slight,Most,Medium,More,Medium,More,Medium,More,Medium,Medium,More,Slight,More,Slight,More,Slight,Medium,Slight,No,Medium,No,"Notes for reviewers can sometimes be important.

Commit structure can be very important and very difficult (if not considered)"
38,11/30/23 20:01:35,11/30/23 20:03:28,Write code and review code,Most,Slight,Most,No,Most,Slight,Most,Medium,More,Medium,Most,Slight,Most,Slight,Most,Medium,Most,Slight,Most,No,Most,Slight,Most,No,
39,2012/1/23 8:56,2012/1/23 8:59,Write code and review code,Medium,Slight,Most,No,Medium,Slight,No,More,No,Slight,Medium,No,Medium,No,Slight,Slight,Slight,Slight,Slight,No,Slight,Slight,Medium,Medium,
40,2012/5/23 11:29,2012/5/23 11:34,Write code and review code,Most,Medium,Most,Medium,Most,Medium,Most,More,Medium,Medium,Medium,Medium,Slight,Slight,More,More,Most,Most,Medium,Medium,More,More,Medium,Medium,描述要简明扼要，不要赘述，关键点可以直接在代码中注释，或者贴上代码片段，这样更有利于代码检视人员理解
